LEXICAL ANALYSIS REPORT
=======================
Line: 2     Token: 	 CLASS                 Lexeme: 	class
Line: 2     Token: 	 ID                    Lexeme: 	MyData
Line: 2     Token: 	 {                     Lexeme: 	{
Line: 4     Token: 	 PUBLIC                Lexeme: 	public
Line: 4     Token: 	 ATTRIBUTE             Lexeme: 	attribute
Line: 4     Token: 	 ID                    Lexeme: 	id
Line: 4     Token: 	 :                     Lexeme: 	:
Line: 4     Token: 	 INTEGER               Lexeme: 	integer
Line: 4     Token: 	 ;                     Lexeme: 	;
Line: 5     Token: 	 }                     Lexeme: 	}
Line: 5     Token: 	 ;                     Lexeme: 	;
Line: 9     Token: 	 FUNC                  Lexeme: 	func
Line: 9     Token: 	 ID                    Lexeme: 	calculate
Line: 9     Token: 	 (                     Lexeme: 	(
Line: 9     Token: 	 ID                    Lexeme: 	x
Line: 9     Token: 	 :                     Lexeme: 	:
Line: 9     Token: 	 INTEGER               Lexeme: 	integer
Line: 9     Token: 	 ,                     Lexeme: 	,
Line: 9     Token: 	 ID                    Lexeme: 	y
Line: 9     Token: 	 :                     Lexeme: 	:
Line: 9     Token: 	 ID                    Lexeme: 	intege
Line: 9     Token: 	 )                     Lexeme: 	)
Line: 9     Token: 	 ARROW_OP              Lexeme: 	=>
Line: 9     Token: 	 INTEGER               Lexeme: 	integer
Line: 9     Token: 	 {                     Lexeme: 	{
Line: 10    Token: 	 LOCAL                 Lexeme: 	local
Line: 10    Token: 	 ID                    Lexeme: 	a
Line: 10    Token: 	 :                     Lexeme: 	:
Line: 10    Token: 	 INTEGER               Lexeme: 	integer
Line: 10    Token: 	 ;                     Lexeme: 	;
Line: 11    Token: 	 LOCAL                 Lexeme: 	local
Line: 11    Token: 	 ID                    Lexeme: 	b
Line: 11    Token: 	 :                     Lexeme: 	:
Line: 11    Token: 	 INTEGER               Lexeme: 	integer
Line: 11    Token: 	 ;                     Lexeme: 	;
Line: 12    Token: 	 ID                    Lexeme: 	a
